City ID,City Name,Country,Latitude,Longitude,Hemisphere,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
3366880,hermanus,ZA,-34.42,19.23,South,55,95,30,5.99
6185377,yellowknife,CA,62.46,-114.35,North,50.41,57,20,6.93
1507390,dikson,RU,73.51,80.55,North,41.14,84,1,10.22
5557293,sitka,US,57.05,-135.33,North,53.6,93,90,3.36
5106841,albany,US,42.6,-73.97,North,72.55,91,100,4.59
3874787,punta arenas,CL,-53.15,-70.92,South,35.29,88,28,6.93
1182872,bhag,PK,29.04,67.82,North,92.1,43,0,5.73
964432,port alfred,ZA,-33.59,26.89,South,61.68,39,0,11.45
7671223,kloulklubed,PW,7.04,134.26,North,89.6,66,75,8.05
3628473,san cristobal,VE,7.77,-72.22,North,73.4,94,75,2.24
60019,eyl,SO,7.98,49.82,North,77.13,71,3,17.13
1488933,turinsk,RU,58.05,63.7,North,45.19,82,0,12.35
6167817,torbay,CA,47.67,-52.73,North,53.53,71,90,12.75
3897774,buin,CL,-33.73,-70.75,South,50.88,66,31,2.24
6201424,mataura,NZ,-46.19,168.86,South,57.76,44,50,2.82
94787,kirkuk,IQ,35.47,44.39,North,82.15,17,0,4.14
53654,mogadishu,SO,2.04,45.34,North,75.99,80,69,14
5848280,kapaa,US,22.08,-159.32,North,81.95,66,20,10.29
3443061,chuy,UY,-33.7,-53.46,South,59.94,93,100,16.37
6137462,saint-augustin,CA,51.23,-58.65,North,54.73,91,14,18.07
1861280,itoman,JP,26.12,127.67,North,86.56,89,75,8.05
3833367,ushuaia,AR,-54.8,-68.3,South,37.4,74,75,1.48
4035715,avarua,CK,-21.21,-159.78,South,80.6,74,0,13.87
4030556,rikitea,PF,-23.12,-134.97,South,70.34,84,13,18.45
5563839,fortuna,US,40.6,-124.16,North,60.39,87,20,9.17
1803374,linping,CN,30.42,120.3,North,83.8,54,20,8.95
2126785,belaya gora,RU,68.53,146.42,North,46.72,60,59,13.85
5546220,saint george,US,37.1,-113.58,North,95.2,11,1,12.75
1735106,georgetown,MY,5.41,100.34,North,84.36,74,20,6.93
4036284,alofi,NU,-19.06,-169.92,South,82.4,74,75,12.75
2026696,bikin,RU,46.82,134.26,North,75,80,100,5.35
5972291,havre-saint-pierre,CA,50.23,-63.6,North,55.4,93,90,10.29
